mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_features,param_min_samples_split,param_n_estimators,param_oob_score,params,split0_test_score,mean_test_score,std_test_score,rank_test_score
1.051567792892456,0.0,0.012112140655517578,0.0,entropy,0.1,2,50,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 2, 'n_estimators': 50, 'oob_score': True}",0.6816091954022988,0.6816091954022988,0.0,95
2.9900059700012207,0.0,0.03738880157470703,0.0,entropy,0.1,2,150,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 2, 'n_estimators': 150, 'oob_score': True}",0.6804597701149425,0.6804597701149425,0.0,96
5.049193859100342,0.0,0.06874394416809082,0.0,entropy,0.1,2,250,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 2, 'n_estimators': 250, 'oob_score': True}",0.6885057471264368,0.6885057471264368,0.0,82
7.178877830505371,0.0,0.10750818252563477,0.0,entropy,0.1,2,350,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 2, 'n_estimators': 350, 'oob_score': True}",0.6896551724137931,0.6896551724137931,0.0,78
0.9013211727142334,0.0,0.015526771545410156,0.0,entropy,0.1,4,50,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 4, 'n_estimators': 50, 'oob_score': True}",0.6850574712643678,0.6850574712643678,0.0,91
2.9264461994171143,0.0,0.059091806411743164,0.0,entropy,0.1,4,150,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 4, 'n_estimators': 150, 'oob_score': True}",0.6977011494252874,0.6977011494252874,0.0,35
4.808995008468628,0.0,0.12031292915344238,0.0,entropy,0.1,4,250,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 4, 'n_estimators': 250, 'oob_score': True}",0.6954022988505747,0.6954022988505747,0.0,52
6.832139015197754,0.0,0.11742520332336426,0.0,entropy,0.1,4,350,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 4, 'n_estimators': 350, 'oob_score': True}",0.6988505747126437,0.6988505747126437,0.0,31
1.092318058013916,0.0,0.014110803604125977,0.0,entropy,0.1,6,50,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 6, 'n_estimators': 50, 'oob_score': True}",0.6931034482758621,0.6931034482758621,0.0,62
2.804502010345459,0.0,0.04558086395263672,0.0,entropy,0.1,6,150,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 6, 'n_estimators': 150, 'oob_score': True}",0.7022988505747126,0.7022988505747126,0.0,20
4.861192226409912,0.0,0.06869792938232422,0.0,entropy,0.1,6,250,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 6, 'n_estimators': 250, 'oob_score': True}",0.6954022988505747,0.6954022988505747,0.0,52
6.220349073410034,0.0,0.07432293891906738,0.0,entropy,0.1,6,350,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 6, 'n_estimators': 350, 'oob_score': True}",0.696551724137931,0.696551724137931,0.0,45
0.956942081451416,0.0,0.02795696258544922,0.0,entropy,0.1,8,50,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 8, 'n_estimators': 50, 'oob_score': True}",0.6896551724137931,0.6896551724137931,0.0,78
2.6131091117858887,0.0,0.04638099670410156,0.0,entropy,0.1,8,150,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 8, 'n_estimators': 150, 'oob_score': True}",0.6977011494252874,0.6977011494252874,0.0,35
4.374707221984863,0.0,0.05756497383117676,0.0,entropy,0.1,8,250,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 8, 'n_estimators': 250, 'oob_score': True}",0.6919540229885057,0.6919540229885057,0.0,68
6.359500169754028,0.0,0.36685991287231445,0.0,entropy,0.1,8,350,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 8, 'n_estimators': 350, 'oob_score': True}",0.6931034482758621,0.6931034482758621,0.0,62
0.943187952041626,0.0,0.02011394500732422,0.0,entropy,0.1,10,50,True,"{'criterion': 'entropy', 'max_features': 0.1, 'min_samples_split': 10, 'n_estimators': 50, 'oob_score': True}",0.6850574712643678,0.6850574712643678,0.0,91
